Artikel,Lieferant,Lagerbestand,Verpackungseinheit,Einkaufspreis,Verkaufspreis
Duck - Whole,Buckridge-Grimes,467,S,77.89,93.468
Teriyaki Sauce,"Schultz, Johns and Kilback",417,XS,22.63,27.156
Bandage - Finger Cots,Gottlieb-Nader,4836,3XL,57.29,68.748
Soup - Campbells Chicken,"Flatley, Bechtelar and O'Keefe",2474,M,99.72,119.664
Tart - Pecan Butter Squares,Purdy-Pollich,1330,3XL,93.94,112.728
Wine - Chablis J Moreau Et Fils,"Wuckert, Nolan and Rogahn",3828,S,1.26,1.512
Propel Sport Drink,"Nader, Bins and Eichmann",1155,2XL,86.87,104.244
Beef - Flank Steak,"Cummings, Smitham and Christiansen",3019,XS,23.35,28.02
"Tart Shells - Savory, 4","Abshire, Marquardt and Klein",4851,2XL,49.88,59.856
Monkfish Fresh - Skin Off,Bode LLC,1198,S,30.65,36.78
Wine - Segura Viudas Aria Brut,Dickens LLC,2715,XS,44.5,53.4
Bread - Corn Muffaletta,Harris LLC,4815,M,44.57,53.484
"Pasta - Fettuccine, Egg, Fresh","Hickle, Schultz and Nienow",3365,XS,90.48,108.576
Squid - U - 10 Thailand,Schaefer-Heidenreich,584,L,24.84,29.808
Myers Planters Punch,Kilback-Pouros,712,2XL,67.63,81.156
"Potatoes - Instant, Mashed","Wilderman, Stanton and O'Reilly",4689,L,85.72,102.864
Catfish - Fillets,"Schroeder, Osinski and Stehr",2775,XS,99.57,119.484
Cookie - Oreo 100x2,"Kertzmann, MacGyver and Bashirian",2006,S,76.6,91.92
Hersey Shakes,Grady LLC,1640,S,20.91,25.092
"Jam - Strawberry, 20 Ml Jar","Tillman, Raynor and Kihn",1544,L,78.08,93.696
Ice Cream Bar - Hagen Daz,Brown-Baumbach,4650,3XL,43.51,52.212
Wine - Vineland Estate Semi - Dry,Bailey Inc,4037,M,30.65,36.78
Beer - Moosehead,"Murphy, Quigley and Waelchi",2889,L,98.31,117.972
Wine - Malbec Trapiche Reserve,"Runolfsdottir, Gottlieb and Hegmann",1266,S,68.27,81.924
"Doilies - 12, Paper","Mohr, Weimann and Harris",4599,2XL,70.4,84.48
Bacardi Limon,"Conroy, MacGyver and Hansen",753,XS,30.28,36.336
"Veal - Round, Eye Of","Brekke, Langosh and West",4546,3XL,43.54,52.248
Flour - All Purpose,"Quitzon, Nikolaus and Pfannerstill",3731,XL,19.03,22.836
"Soup - Campbells, Chix Gumbo",Kemmer-Konopelski,2330,M,52.88,63.456
"Wine - White, Pelee Island",Abshire LLC,4740,L,57.48,68.976
Longos - Penne With Pesto,Feil LLC,1401,S,16.84,20.208
Butter - Salted,Kertzmann-Corwin,4825,XS,65.8,78.96
"Pepper - Julienne, Frozen","Lehner, Ryan and Parker",908,M,69.33,83.196
Skirt - 24 Foot,Sawayn and Sons,409,L,30.83,36.996
"Juice - Orange, Concentrate",Rutherford-Huels,1168,S,39.79,47.748
Bagels Poppyseed,Stracke LLC,3705,L,64.02,76.824
Beer - Guiness,"Cormier, Beatty and Quigley",4457,S,84.64,101.568
Bouq All Italian - Primerba,Ebert-Wolff,2057,S,60.37,72.444
Quail Eggs - Canned,Bernier-Hahn,26,L,66.88,80.256
Salt - Kosher,"Champlin, Rath and Champlin",3048,2XL,34.71,41.652
Muskox - French Rack,Murazik-Rath,2095,XS,26.31,31.572
"Bread - Roll, Whole Wheat",Lemke-Durgan,4482,2XL,17.58,21.096
Bread - Rye,"Jacobs, Connelly and Becker",4291,3XL,32.19,38.628
Sprouts - Baby Pea Tendrils,Reichert Group,606,S,70.53,84.636
Potatoes - Yukon Gold 5 Oz,"Hyatt, McGlynn and Keebler",718,S,10.33,12.396
Chick Peas - Dried,"Pollich, Toy and Paucek",3013,2XL,39.16,46.992
Olives - Kalamata,Vandervort-Bernier,4558,XL,25.92,31.104
"Lamb - Leg, Boneless",Wuckert and Sons,3863,3XL,23.1,27.72
Pork - Side Ribs,Hills-Wiegand,3013,XL,31.22,37.464
Mangoes,"Goodwin, Howell and Ernser",1015,XS,89.57,107.484
"Cherries - Bing, Canned",Wunsch and Sons,1798,3XL,14.25,17.1
"Brownies - Two Bite, Chocolate","Prosacco, Zulauf and Gislason",2987,XS,70.82,84.984
Dikon,Bernhard-Dach,1590,L,98.46,118.152
Bread Fig And Almond,Lang and Sons,2180,XL,17.69,21.228
Bay Leaf Fresh,Conroy-Halvorson,4187,L,13.89,16.668
"Lamb - Leg, Boneless",Murphy LLC,3286,XS,6.35,7.62
Flax Seed,Feest-Runolfsdottir,62,2XL,32.92,39.504
Kolrabi,Berge-Franecki,1576,S,79.84,95.808
Beef - Texas Style Burger,"O'Kon, Kreiger and Emard",1454,2XL,73.61,88.332
Icecream Cone - Areo Chocolate,"Schuppe, Hills and Stehr",1751,XL,27.94,33.528
Lettuce - Boston Bib,Spinka-Stracke,1787,3XL,12.67,15.204
Chicken Thigh - Bone Out,"Gislason, Bailey and Lemke",794,L,20.57,24.684
Steam Pan Full Lid,Olson LLC,368,S,58.48,70.176
Daikon Radish,"Hand, McClure and Murphy",735,XL,37.97,45.564
Wine - Domaine Boyar Royal,"Hand, Beatty and Renner",2398,XS,47.2,56.64
Bread Sour Rolls,Mills LLC,68,M,31.36,37.632
Yogurt - Assorted Pack,Legros-Satterfield,1205,3XL,4.48,5.376
Fish - Bones,Gibson-Mayert,873,XS,82.73,99.276
Ice Cream - Strawberry,Hickle-Kshlerin,2898,XS,47.53,57.036
Barramundi,Brakus-White,957,3XL,30.5,36.6
"Brownies - Two Bite, Chocolate",Mayert Inc,3260,XS,57.34,68.808
Yeast Dry - Fermipan,Heathcote LLC,2879,M,6.03,7.236
Hagen Daza - Dk Choocolate,Zieme-Walsh,1516,L,54.1,64.92
Mussels - Frozen,"Wisozk, Streich and Oberbrunner",4629,XS,46.61,55.932
Aspic - Light,Herzog-Rippin,3171,XL,80.12,96.144
Tea - Apple Green Tea,"Douglas, Kuhlman and Stoltenberg",2444,L,13.26,15.912
V8 Pet,Collier LLC,1601,3XL,83.14,99.768
Green Tea Refresher,Steuber-Romaguera,1316,S,60.01,72.012
"Pasta - Orzo, Dry","Schuppe, Wunsch and Bauch",2679,2XL,61.66,73.992
"Pasta - Fettuccine, Egg, Fresh",Heidenreich Group,2857,3XL,23.86,28.632
Instant Coffee,"Ritchie, Goyette and Barrows",3481,2XL,88.96,106.752
Worcestershire Sauce,"Hayes, Hamill and Bayer",1548,S,61.52,73.824
Soup - Cream Of Broccoli,Tillman Group,1069,2XL,8.08,9.696
Chutney Sauce - Mango,Christiansen Inc,1507,M,6.37,7.644
Pepper - Sorrano,"Renner, Lockman and Terry",157,M,12.75,15.3
Milk Powder,"Brakus, Ferry and McDermott",923,S,60.22,72.264
"Beans - Black Bean, Canned",Klocko and Sons,4993,M,80.16,96.192
Sobe - Orange Carrot,Lemke and Sons,1561,3XL,64.52,77.424
"Tortillas - Flour, 12",Wolff-Schoen,1055,S,18.9,22.68
Eggwhite Frozen,"Bailey, Stracke and Schowalter",2207,2XL,28.93,34.716
Bread Ww Cluster,Friesen-Mohr,1396,XS,90.26,108.312
"Cheese - Woolwich Goat, Log",Roberts-Hagenes,4574,XL,75.5,90.6
Mushrooms - Honey,Ledner-Lesch,173,S,88.06,105.672
"Mushroom - Enoki, Dry",Marquardt-Tromp,1635,3XL,77.29,92.748
Beef Dry Aged Tenderloin Aaa,"Herman, Zieme and Yost",3071,L,75.07,90.084
Cookies Almond Hazelnut,Mante Group,1758,M,51.37,61.644
"Napkin - Beverge, White 2 - Ply",Ankunding and Sons,4409,2XL,23.01,27.612
Salmon - Sockeye Raw,Dicki Group,1169,XS,57.54,69.048
"Lid - High Heat, Super Clear","Mertz, Emmerich and McDermott",515,XL,62.87,75.444
Bread - Flat Bread,Tromp Inc,3117,L,49.08,58.896
"Beans - Kidney, Red Dry",Heidenreich Inc,2626,2XL,22.76,27.312
Cheese - Brie,Nolan-Morissette,4827,3XL,93.28,111.936
"Chicken - Diced, Cooked","Jerde, Rolfson and Mueller",15,XS,78.32,93.984
Mushroom - King Eryingii,Abernathy-Mueller,2344,2XL,60.89,73.068
"Carrots - Mini, Stem On",Langworth and Sons,4108,XL,39.94,47.928
"Wine - Red, Pinot Noir, Chateau",Rohan Group,2152,L,96.15,115.38
Cakes Assorted,D'Amore-Ledner,3622,XL,28.06,33.672
Bacardi Breezer - Strawberry,Goodwin-Willms,3857,M,50.33,60.396
"Turkey - Breast, Boneless Sk On","Krajcik, Metz and Gottlieb",1662,S,15.38,18.456
Creamers - 10%,"Goyette, Durgan and Erdman",2508,XL,64.34,77.208
Bouillion - Fish,Robel LLC,989,2XL,68.01,81.612
"Wine - Red, Colio Cabernet","Crist, Hermiston and Murphy",3546,2XL,5.85,7.02
Wine - Sake,Goodwin Group,4392,XL,69.9,83.88
Cheese - Comte,"Christiansen, Pacocha and Muller",3018,2XL,59.49,71.388
Burger Veggie,McDermott-McDermott,3082,L,21.16,25.392
Wine - White Cab Sauv.on,Rowe and Sons,3497,XS,67.54,81.048
Versatainer Nc - 9388,"Cassin, Windler and Ondricka",1526,2XL,58.83,70.596
Everfresh Products,Beier-Gaylord,305,3XL,98.06,117.672
"Sparkling Wine - Rose, Freixenet",Williamson LLC,3747,3XL,87.19,104.628
"Dill - Primerba, Paste",Wunsch and Sons,2960,XS,49.09,58.908
"Salmon - Atlantic, Skin On",O'Reilly Inc,1052,XL,16.62,19.944
Basil - Thai,Strosin-Waelchi,2315,L,19.52,23.424
Couscous,Krajcik Inc,3303,2XL,71.12,85.344
Asparagus - Frozen,Mitchell-Mante,2881,3XL,56.22,67.464
Halibut - Steaks,Zemlak-Treutel,1970,L,57.79,69.348
Wine - Chardonnay Mondavi,Muller and Sons,2097,XL,99.58,119.496
Wine - Riesling Dr. Pauly,"Morissette, Bahringer and D'Amore",1003,L,80.14,96.168
Cookies Oatmeal Raisin,Upton-Rice,4413,2XL,62.15,74.58
Wine - Two Oceans Sauvignon,Nader-Schumm,320,XS,47.37,56.844
Cheese - Brick With Onion,Durgan Group,3262,2XL,64.58,77.496
Sugar - Individual Portions,Dach-Hickle,4387,3XL,65.6,78.72
Beer - Guiness,Jones-Heaney,856,XS,60.19,72.228
Coffee - 10oz Cup 92961,"Boyer, Klein and Johns",3207,3XL,80.86,97.032
"Nut - Walnut, Chopped",Lindgren and Sons,1599,L,34.85,41.82
Cheese - Valancey,Herman-Zulauf,1458,M,84.46,101.352
Ham - Cooked Italian,Leannon Group,4718,3XL,16.31,19.572
Pepper - Red Bell,"Pouros, Stanton and Stracke",355,3XL,47.99,57.588
Dip - Tapenade,"Harvey, Hettinger and Fadel",4853,M,49.78,59.736
Sesame Seed Black,Hessel-Greenholt,1215,L,57.25,68.7
Beer - Mcauslan Apricot,Skiles Group,3327,L,23.45,28.14
Cakes Assorted,"Howell, Konopelski and Murazik",772,XL,33.56,40.272
Milk - 2% 250 Ml,"Kassulke, Huels and Bartell",803,L,8.69,10.428
Coffee Swiss Choc Almond,Hessel Group,3121,S,69.19,83.028
Cucumber - English,Stehr and Sons,4746,XS,10.66,12.792
Carbonated Water - Blackberry,Franecki-Marvin,4065,XS,16.64,19.968
Wine - Maipo Valle Cabernet,"Bernhard, Walsh and Veum",1431,3XL,44.1,52.92
"Tart Shells - Sweet, 3",Swift Inc,2423,3XL,24.69,29.628
Caviar - Salmon,Kihn Inc,535,XL,60.07,72.084
"Nut - Walnut, Chopped",Schumm-Feil,4812,M,14.71,17.652
Wine - Beringer Founders Estate,Bogisich Group,3919,XS,3.07,3.684
Olive - Spread Tapenade,Bins-Batz,799,L,85.37,102.444
Nestea - Iced Tea,"Stiedemann, Monahan and Deckow",4119,2XL,12.43,14.916
Wine - Penfolds Koonuga Hill,Stoltenberg Inc,253,XS,75.86,91.032
Lettuce - Baby Salad Greens,"Lemke, Gutmann and Hartmann",4321,XS,71.16,85.392
Pepper - Red Bell,Kohler and Sons,1865,XS,31.58,37.896
Wine - Saint Emilion Calvet,Nikolaus-Willms,1873,3XL,16.16,19.392
Cranberries - Dry,Towne Group,1806,XS,45.96,55.152
Salad Dressing,"Osinski, Rempel and Bayer",4882,XS,62.93,75.516
Lettuce - California Mix,Kuhlman-Ratke,2652,S,64.63,77.556
Water - Evian 355 Ml,Ledner and Sons,4473,L,56.06,67.272
Yeast Dry - Fleischman,Paucek-Kohler,4704,3XL,90.16,108.192
Beef - Prime Rib Aaa,Fadel-Spencer,1440,S,9.57,11.484
Rabbit - Frozen,Haley and Sons,2828,XL,28.57,34.284
Snapple - Iced Tea Peach,Davis Inc,3906,2XL,68.68,82.416
"Juice - Tomato, 48 Oz",Eichmann Inc,4879,XS,33.9,40.68
Cleaner - Comet,"Auer, Roob and Langworth",1622,XS,88.01,105.612
Beer - Tetleys,Connelly Inc,2909,2XL,59.51,71.412
Chef Hat 25cm,Farrell Group,642,XS,42.19,50.628
Spinach - Frozen,"Beier, Balistreri and Mohr",1081,XL,53.07,63.684
Extract - Almond,Bruen-Bradtke,399,M,67.41,80.892
Transfer Sheets,"Simonis, Deckow and Upton",4786,XS,94.44,113.328
Towels - Paper / Kraft,Conn Inc,2734,M,62.27,74.724
Rabbit - Frozen,Murray-Buckridge,145,XS,81.47,97.764
Green Scrubbie Pad H.duty,Hammes Inc,3530,M,37.36,44.832
Beef - Ground Medium,Lesch-Feeney,3743,M,70.5,84.6
Cardamon Ground,Bernhard-Schmeler,1293,M,15.44,18.528
Sauce - Hp,"Rice, Steuber and Adams",2279,2XL,93.23,111.876
Chicken - Tenderloin,Jerde-Schulist,4055,L,63.35,76.02
"Lamb - Leg, Boneless",Bauch Group,3011,2XL,55.81,66.972
Cotton Wet Mop 16 Oz,Christiansen Group,3965,2XL,86.67,104.004
Flower - Commercial Spider,Ortiz-Swaniawski,2366,L,71.14,85.368
Beans - Butter Lrg Lima,"Oberbrunner, Brakus and Wuckert",4700,S,53.75,64.5
Grenadillo,Hackett LLC,873,L,93.09,111.708
Appetizer - Seafood Assortment,Murphy-Doyle,2073,2XL,24.13,28.956
Soup - Campbells Chili Veg,Rempel Inc,2093,3XL,39.17,47.004
Lamb - Sausage Casings,Bergstrom and Sons,1521,M,23.15,27.78
Chicken Giblets,Champlin-Jenkins,1444,XL,15.14,18.168
Fruit Salad Deluxe,Mosciski-Rau,1655,3XL,81.5,97.8
Cheese - Parmigiano Reggiano,"Medhurst, Gleason and Prohaska",3309,M,30.17,36.204
Cheese - Brie,"Labadie, Ondricka and Conn",3058,3XL,15.47,18.564
Plastic Arrow Stir Stick,Hamill-Wolff,4762,3XL,39.59,47.508
"Wine - White, Chardonnay",D'Amore Group,949,2XL,80.01,96.012
Bagel - Whole White Sesame,DuBuque-Cartwright,1775,M,62.06,74.472
Macaroons - Homestyle Two Bit,Balistreri-Moen,872,2XL,10.46,12.552
Flower - Carnations,Pouros Group,1364,L,7.74,9.288
Pears - Anjou,Towne-Wiza,1178,XS,67.56,81.072
Cocoa Butter,Schmidt-Conn,2999,XS,88.4,106.08
Melon - Honey Dew,Friesen-Kessler,2141,M,40.63,48.756
Lobster - Tail 6 Oz,Labadie-Conn,2618,XL,22.78,27.336
Fiddlehead - Frozen,Senger Inc,32,M,25.65,30.78
Wine - Mondavi Coastal Private,Monahan-Emmerich,3303,3XL,84.47,101.364
Daves Island Stinger,Jacobson-Hammes,1002,M,73.11,87.732
Beer - Upper Canada Lager,Luettgen LLC,3721,XL,32.27,38.724
Tomato Paste,Hauck Group,3198,3XL,27.82,33.384
Otomegusa Dashi Konbu,"Hauck, Wisozk and Witting",1194,3XL,96.88,116.256
Jack Daniels,Braun and Sons,2511,XS,88.31,105.972
Pasta - Angel Hair,Roob LLC,2083,XL,96.79,116.148
Ice Cream Bar - Hageen Daz To,Dicki Inc,3400,XL,64.07,76.884
"Extract - Vanilla,artificial","Smith, Nicolas and Rippin",2161,S,75.14,90.168
Chinese Foods - Thick Noodles,Balistreri-Labadie,1299,M,43.19,51.828
Crackers - Melba Toast,"Littel, Zboncak and Schmeler",4155,3XL,43.73,52.476
Wine - German Riesling,Grimes and Sons,1822,S,90.24,108.288
Chicken - Bones,Mosciski Group,4480,XS,30.91,37.092
Fib N9 - Prague Powder,Wehner-Langosh,1423,L,9.33,11.196
Beer - True North Lager,Ondricka and Sons,1042,S,75.62,90.744
"Apple - Delicious, Red",Howell LLC,4382,2XL,70.5,84.6
"Mushroom - Shitake, Dry","Schuster, Conn and Von",185,M,53.08,63.696
Lid - 0090 Clear,Fahey-Haley,4891,L,28.43,34.116
"Yeast - Fresh, Fleischman",Nicolas and Sons,4704,XS,83.67,100.404
Foie Gras,Stokes-Harvey,374,XS,33.32,39.984
Radish - Pickled,Kerluke-Mertz,909,L,85.67,102.804
Cookie Dough - Double,"Crist, Davis and Dare",781,XS,71.82,86.184
Appetizer - Southwestern,Haley and Sons,3752,S,44.81,53.772
Tea - Grapefruit Green Tea,Lemke Group,2426,2XL,68.5,82.2
Truffle Cups - Red,"Wolff, Johnston and Hauck",1255,S,79.44,95.328
Pears - Bosc,Paucek and Sons,4763,M,53.27,63.924
Croissants Thaw And Serve,"Gerhold, Durgan and Roberts",1174,3XL,11.44,13.728
Mushroom - White Button,Marvin-Wintheiser,1464,L,33.18,39.816
Bacardi Raspberry,Weimann Group,3070,2XL,11.4,13.68
Dry Ice,O'Keefe LLC,3687,XL,86.44,103.728
Scrubbie - Scotchbrite Hand Pad,Walker-Windler,3805,3XL,59.83,71.796
Flower - Commercial Bronze,"Trantow, Ullrich and Jones",1592,S,88.85,106.62
Ezy Change Mophandle,Kohler LLC,1723,S,52.64,63.168
Wine - Riesling Dr. Pauly,Douglas LLC,1772,2XL,78.17,93.804
Turkey Leg With Drum And Thigh,"McCullough, Crona and Ondricka",2451,2XL,86.41,103.692
Beef - Ox Tongue,Beier Inc,404,S,50.21,60.252
Glass Clear 8 Oz,Hegmann-Herzog,1321,3XL,38.95,46.74
Sauce - Mint,"Quitzon, Denesik and Kohler",1202,3XL,96.55,115.86
Pie Shell - 9,Jones-Gorczany,4246,L,42.99,51.588
Chicken - Leg / Back Attach,Schmitt-Oberbrunner,4249,S,64.8,77.76
Eggplant - Asian,Simonis-Kuhlman,3198,L,98.15,117.78
Browning Caramel Glace,"West, Greenholt and Zieme",2930,XL,7.42,8.904
"Bread - Crumbs, Bulk",Stamm-Homenick,2919,M,60.31,72.372
Kippers - Smoked,Reilly and Sons,4669,XS,37.61,45.132
Lettuce - Radicchio,"Schuster, Jacobson and Mraz",1904,2XL,88.59,106.308
Bread - Ciabatta Buns,Waelchi LLC,2413,XL,85.99,103.188
"Champagne - Brights, Dry",Beer-Hagenes,4163,L,70.3,84.36
"Pepsi - Diet, 355 Ml",Hintz-Mueller,2926,3XL,88.73,106.476
Hipnotiq Liquor,Mohr and Sons,1543,XL,60.78,72.936
Triple Sec - Mcguinness,"Connelly, Cruickshank and Boyle",3791,2XL,34.81,41.772
Lemonade - Pineapple Passion,Kreiger LLC,9,XS,91.9,110.28
"Red Snapper - Fillet, Skin On",Grady and Sons,2667,M,98.32,117.984
"Pepper - Green, Chili",Hickle Inc,664,XL,89.36,107.232
Coffee - 10oz Cup 92961,Kuvalis Group,2485,2XL,18.04,21.648
Salt - Celery,Beatty Group,3486,XL,60.14,72.168
Beer - Camerons Cream Ale,Douglas Inc,4566,L,92.96,111.552
Rhubarb,"Brekke, Zieme and Casper",2542,XL,57.57,69.084
Lamb Rack - Ontario,Lubowitz-Bogan,409,XL,34.51,41.412
Extract - Raspberry,Cummerata and Sons,1917,XS,58.76,70.512
Icecream - Dstk Cml And Fdg,"Klocko, Dare and Nikolaus",719,XS,85.26,102.312
Coconut - Whole,Rice-Berge,1226,2XL,39.78,47.736
Yukon Jack,Huel-Berge,4085,2XL,84.16,100.992
Pasta - Agnolotti - Butternut,Koepp-Kutch,2069,XL,86.17,103.404
Cauliflower,"Stroman, Weber and Feeney",4659,XS,2.07,2.484
Muffin Mix - Carrot,"Quitzon, Muller and Batz",4649,S,50.56,60.672
Salt - Seasoned,"Cole, Mitchell and Klein",4872,XL,56.49,67.788
Beans - Yellow,Kirlin-O'Reilly,1829,XL,37.46,44.952
Higashimaru Usukuchi Soy,"Blick, Dare and Schmitt",3392,XS,61.44,73.728
Wine - Balbach Riverside,"Barton, Will and Beatty",1701,S,85.87,103.044
Chocolate - Milk,Hartmann-Ernser,2965,XL,75.66,90.792
Mayonnaise,Flatley and Sons,2317,XS,5.52,6.624
Bread - English Muffin,Hilpert-McDermott,2805,XS,18.41,22.092
Arrowroot,Brekke Inc,2813,S,7.34,8.808
Pie Shells 10,Labadie Inc,3197,XS,41.82,50.184
"Lid - Translucent, 3.5 And 6 Oz",Huels-Kohler,865,2XL,98.65,118.38
Beets - Mini Golden,Wiegand-Dibbert,51,L,8.06,9.672
Glove - Cutting,"DuBuque, Moen and Shields",4760,XL,74.27,89.124
Beef - Eye Of Round,"Kunze, Kassulke and Kshlerin",4467,L,93.47,112.164
Muffin - Mix - Mango Sour Cherry,"Senger, Koepp and Rath",3104,M,46.58,55.896
Slt - Individual Portions,Zemlak Inc,2005,2XL,34.18,41.016
Five Alive Citrus,Collins Group,143,L,84.76,101.712
Everfresh Products,"Brown, Johnston and Kub",1189,2XL,60.38,72.456
"Basil - Primerba, Paste","Huel, Howell and Stiedemann",1834,XL,68.44,82.128
Beef - Cow Feet Split,"Cole, Labadie and Okuneva",471,XS,77.24,92.688
Sardines,Jaskolski LLC,320,XL,96.21,115.452
Water Chestnut - Canned,Miller-Lowe,4042,XS,21.79,26.148
Mushroom - Chanterelle Frozen,Veum Group,4891,3XL,37.4,44.88
"Nut - Pine Nuts, Whole",Wuckert Inc,3913,3XL,41.61,49.932
Eggplant - Regular,Bode-Wehner,891,XL,99.1,118.92
Appetizer - Sausage Rolls,Kozey Group,3912,L,48.0,57.6
Coffee - Decaffeinato Coffee,"Walker, Douglas and Feest",4695,M,36.97,44.364
Beer - Mcauslan Apricot,"Corkery, Nienow and Reinger",1625,2XL,38.11,45.732
"Soup - Campbells, Chix Gumbo",Fahey Group,1275,XL,17.33,20.796
"Lamb - Whole Head Off,nz","Cummings, Jast and Hamill",1795,L,67.12,80.544
"Crab - Claws, Snow 16 - 24",DuBuque-Zulauf,894,XL,48.14,57.768
Squash - Pepper,"Stamm, Kutch and Konopelski",3126,L,28.09,33.708
Chocolate - Semi Sweet,"Auer, Hartmann and Mitchell",3070,XS,46.0,55.2
Bread - Dark Rye,Renner and Sons,273,XL,93.87,112.644
Carrots - Jumbo,Pfannerstill-Murphy,2800,M,90.69,108.828
Sauce - Ranch Dressing,Mohr Inc,2917,2XL,62.37,74.844
Juice - Apple 284ml,"Altenwerth, Carroll and Mayer",2541,M,20.64,24.768
"Tuna - Canned, Flaked, Light",Osinski and Sons,581,3XL,81.12,97.344
Buffalo - Short Rib Fresh,Reynolds LLC,460,2XL,94.3,113.16
"Soup - Campbells, Butternut",Ratke Inc,1068,2XL,87.6,105.12
Appetizer - Asian Shrimp Roll,"Rodriguez, Monahan and Veum",702,XS,88.65,106.38
"Pork - Bacon,back Peameal",Watsica and Sons,2406,XL,92.4,110.88
"Pepper - Chipotle, Canned",Stanton-Koss,380,2XL,80.32,96.384
Eel - Smoked,Wuckert and Sons,3168,S,45.36,54.432
Pork - Back Ribs,"Feil, Durgan and Kessler",397,L,88.63,106.356
"Soup - Campbells, Chix Gumbo",Pollich Group,3533,L,34.79,41.748
"Veal - Brisket, Provimi,bnls",Crooks-Hessel,162,XL,33.77,40.524
Juice - Mango,Koch Group,3947,XL,51.18,61.416
Flour - All Purpose,"Ruecker, Cassin and Oberbrunner",3933,L,36.42,43.704
Napkin - Beverage 1 Ply,Windler LLC,235,3XL,50.37,60.444
Coffee - Hazelnut Cream,Koch-Hartmann,1976,XS,46.97,56.364
Loquat,"Jerde, White and Smitham",205,XS,55.65,66.78
Laundry - Bag Cloth,Thompson Inc,239,XS,2.81,3.372
Tea - Green,"Kunze, Weimann and Zieme",1767,XS,2.2,2.64
Sauce - Demi Glace,Toy and Sons,1859,3XL,80.08,96.096
Ostrich - Fan Fillet,"Runte, Okuneva and Skiles",1509,L,23.02,27.624
Table Cloth 54x72 Colour,Waelchi LLC,3414,3XL,84.13,100.956
Octopus,"Leuschke, Hackett and Morar",851,S,27.0,32.4
Grand Marnier,Kreiger-O'Keefe,1719,2XL,18.4,22.08
Wine - Muscadet Sur Lie,Breitenberg Group,940,XL,97.1,116.52
"Beans - Fava, Canned",Block-Schaefer,4620,2XL,85.49,102.588
Grapefruit - Pink,Eichmann and Sons,2940,M,75.86,91.032
"Wine - Niagara,vqa Reisling",Nienow LLC,2826,S,32.83,39.396
Muffins - Assorted,Kutch and Sons,2984,S,57.06,68.472
Ice Cream - Strawberry,Hartmann and Sons,664,L,71.36,85.632
"Pasta - Fett Alfredo, Single Serve",Nitzsche Group,1838,2XL,44.23,53.076
Bread - Pita,Borer LLC,870,M,63.25,75.9
Appetizer - Asian Shrimp Roll,Bruen Inc,233,L,62.89,75.468
Tomato - Plum With Basil,Buckridge Inc,4026,3XL,35.98,43.176
Asparagus - Frozen,Wuckert Inc,770,XL,58.99,70.788
Cookie - Oreo 100x2,Little-Lubowitz,448,L,44.69,53.628
