Artikel,Lieferant,Lagerbestand,Verpackungseinheit,Einkaufspreis,Verkaufspreis
Rice - Wild,Upton-Schamberger,601,XS,21.0,25.2
Salt - Kosher,Rohan Inc,3408,S,62.55,75.06
Melon - Honey Dew,"Collier, Welch and Stracke",4004,XS,29.17,35.004
Swordfish Loin Portions,Mraz-Jacobson,178,S,38.02,45.624
Wine - Toasted Head,Beahan-Lynch,3475,3XL,86.93,104.316
"Pasta - Fettuccine, Egg, Fresh","Hane, Frami and Russel",4376,L,11.31,13.572
Wine - Vineland Estate Semi - Dry,"Wiza, Hilpert and Predovic",4870,M,37.85,45.42
Shiro Miso,Daniel-Walter,776,M,81.45,97.74
"Rum - Dark, Bacardi, Black","Bradtke, Lockman and Cummings",1805,S,84.7,101.64
Sauce - Sesame Thai Dressing,Connelly-Cummings,806,XS,17.0,20.4
Container - Clear 16 Oz,"O'Conner, Bogan and Hintz",2793,L,47.94,57.528
"Yogurt - Cherry, 175 Gr",Bednar Inc,2553,XL,53.25,63.9
Chips Potato Reg 43g,"Bogan, Jacobson and Cremin",2726,XL,39.2,47.04
Anchovy Fillets,Welch-Oberbrunner,4964,L,66.8,80.16
"Beans - Kidney, Canned",Swift Group,2162,2XL,18.54,22.248
Wine - Barolo Fontanafredda,Marquardt Inc,4373,XL,24.33,29.196
Pumpkin,Wolff-Berge,4901,L,36.06,43.272
Glucose,Heller and Sons,2143,XL,30.1,36.12
"Pepsi - Diet, 355 Ml",Prosacco-Leannon,1430,M,15.61,18.732
"Beef - Ground, Extra Lean, Fresh",Zieme-Parker,1366,XL,80.98,97.176
Chicken - Whole,Botsford-Torp,2205,3XL,98.74,118.488
Puree - Blackcurrant,"Ebert, Swift and Senger",2718,2XL,30.65,36.78
Veal Inside - Provimi,Rolfson and Sons,4752,XL,16.68,20.016
Juice Peach Nectar,"Dibbert, Spencer and Oberbrunner",1260,L,16.29,19.548
Pasta - Fusili Tri - Coloured,"Rosenbaum, Lehner and Ledner",4201,S,67.61,81.132
Cream - 18%,Christiansen Inc,2049,XS,90.66,108.792
"Brocolinni - Gaylan, Chinese","Padberg, Cruickshank and Hills",3365,XL,90.81,108.972
Glass Clear 7 Oz Xl,Emmerich-Kuphal,4082,L,82.89,99.468
"Pepper - Black, Crushed","Lakin, Heller and Lindgren",4499,M,43.85,52.62
Vegetable - Base,"Gulgowski, Bartoletti and Erdman",2364,L,96.78,116.136
Pasta - Agnolotti - Butternut,Schulist LLC,523,XL,62.8,75.36
Water - Evian 355 Ml,"Herzog, Kozey and Zemlak",4596,XS,43.86,52.632
Longos - Lasagna Beef,Schoen Group,4781,L,16.15,19.38
Cookies - Englishbay Chochip,"Kling, Feil and Morar",2203,M,15.93,19.116
Foil Wrap,Blanda Group,1840,XS,64.88,77.856
Bread Country Roll,Flatley Inc,2087,S,53.77,64.524
Ecolab - Balanced Fusion,Koelpin Group,432,S,29.52,35.424
"Tart Shells - Barquettes, Savory",Mante-Bartell,2070,2XL,47.88,57.456
Jolt Cola,"Kuhlman, Christiansen and Abshire",1936,2XL,14.93,17.916
The Pop Shoppe - Grape,Ebert-Nader,3711,S,73.56,88.272
Rice - 7 Grain Blend,Torphy-Stehr,1961,S,7.99,9.588
Bread - Pumpernickel,Block and Sons,2347,3XL,6.58,7.896
"Stock - Veal, Brown",Lindgren Group,4081,XL,18.3,21.96
Longan,"Powlowski, Fisher and Hoppe",3439,L,59.38,71.256
Potatoes - Parissienne,"Corkery, Labadie and Prohaska",1210,3XL,57.57,69.084
Truffle - Whole Black Peeled,"Morar, Kiehn and Zemlak",1276,XL,40.75,48.9
Orange Roughy 4/6 Oz,Bode and Sons,2338,XL,68.83,82.596
Easy Off Oven Cleaner,Lindgren-Bergstrom,4139,XL,12.8,15.36
Crawfish,Rowe-Mueller,4755,S,54.67,65.604
Grapes - Red,Yost Group,393,M,93.09,111.708
Beer - Upper Canada Lager,Leannon-Reichert,3625,XL,94.87,113.844
Nantucket - Orange Mango Cktl,Pagac Group,2888,M,1.54,1.848
"Beef - Bones, Marrow",Dietrich Inc,3930,M,84.65,101.58
Maintenance Removal Charge,Senger-Balistreri,3497,S,57.34,68.808
Jack Daniels,Kuhic-Hagenes,1038,M,71.64,85.968
Beef - Top Sirloin,Goldner-Douglas,1537,XS,22.49,26.988
Transfer Sheets,Jacobi Group,1877,M,3.16,3.792
Ginger - Crystalized,Langosh-Brekke,591,2XL,64.87,77.844
Kirsch - Schloss,Batz-Swift,2180,M,76.66,91.992
Tomatoes Tear Drop Yellow,"Adams, Jaskolski and Willms",1450,XS,26.59,31.908
Appetizer - Chicken Satay,"Hodkiewicz, Steuber and Auer",2378,M,21.97,26.364
Amarula Cream,"Mueller, Schulist and D'Amore",4012,3XL,7.17,8.604
Strawberries - California,"Wiza, Swaniawski and Streich",3390,2XL,37.45,44.94
Liqueur - Melon,"Kuhic, Schmeler and Dicki",4262,XL,9.37,11.244
Cabbage - Red,Bartoletti Group,4462,XS,51.48,61.776
"Beef - Chuck, Boneless",Kuphal Group,2024,M,88.14,105.768
"Schnappes - Peach, Walkers","Tremblay, Rodriguez and Hand",1566,L,69.68,83.616
"Pork - Ham, Virginia",Beer-Gerlach,1057,3XL,59.62,71.544
Chips Potato Salt Vinegar 43g,"Kshlerin, Gutmann and Osinski",4721,S,38.09,45.708
Wine - Duboeuf Beaujolais,Mann Group,440,M,35.2,42.24
"Mushroom - Shitake, Fresh",Hoeger Inc,1617,XL,20.63,24.756
Papayas,"Cummerata, Bartoletti and Purdy",1376,2XL,4.2,5.04
"Lettuce - Mini Greens, Whole",Oberbrunner-Senger,3328,XS,95.31,114.372
"Spoon - Soup, Plastic",Walter Inc,3804,XS,21.94,26.328
Beef - Ground Medium,Quitzon-Bechtelar,682,XS,33.64,40.368
Flower - Commercial Bronze,Pfeffer-Hartmann,4938,XS,55.2,66.24
"Sole - Dover, Whole, Fresh",Larson-Kovacek,1998,XS,67.52,81.024
Propel Sport Drink,Donnelly-Schmitt,1672,L,54.83,65.796
"Turkey - Breast, Smoked","Walker, Stanton and Champlin",4259,L,59.03,70.836
Beer - Steamwhistle,"Lakin, Kautzer and Stanton",3567,S,7.82,9.384
White Baguette,Braun LLC,3715,2XL,91.5,109.8
Compound - Orange,Adams-Stark,403,3XL,77.08,92.496
Pectin,Langosh Inc,1416,XS,92.87,111.444
Soup - French Onion,Skiles-Lebsack,3977,XL,1.9,2.28
Heavy Duty Dust Pan,"Kutch, Ward and Stamm",1095,S,39.36,47.232
Blueberries - Frozen,"Roberts, Haley and Ratke",2942,S,56.68,68.016
Cheese - St. Paulin,"Kunde, Sawayn and Schmitt",471,L,70.98,85.176
"Asparagus - White, Fresh",Bergstrom-Murazik,2615,3XL,21.86,26.232
"Beef - Ox Tail, Frozen",Trantow LLC,4103,M,58.83,70.596
Bread - 10 Grain Parisian,"Adams, Kassulke and Lockman",2130,L,51.67,62.004
Table Cloth 62x120 White,"Morissette, Mraz and Olson",762,XS,52.3,62.76
Wine - Chardonnay South,"Senger, Rodriguez and Rosenbaum",2407,XS,86.69,104.028
Flour - Pastry,"Ondricka, Marks and Miller",1601,XS,32.15,38.58
Magnotta Bel Paese Red,Gerhold-Hessel,935,2XL,10.66,12.792
Juice Peach Nectar,Ortiz-Schowalter,1949,M,54.96,65.952
Lobster - Live,"Lockman, Shanahan and Brakus",2045,2XL,19.46,23.352
Cake - French Pear Tart,"Leffler, Hoeger and Frami",2272,2XL,74.06,88.872
Wine - Valpolicella Masi,Kiehn Inc,3749,2XL,1.16,1.392
"Lobster - Baby, Boiled",Bashirian-Christiansen,3721,2XL,11.93,14.316
Oil - Macadamia,Glover LLC,2304,L,94.46,113.352
Beef - Top Sirloin - Aaa,"Hegmann, Lowe and Langosh",1878,XS,95.94,115.128
Venison - Liver,Crooks LLC,249,L,47.63,57.156
Cheese - Colby,Hermann Group,3103,L,95.34,114.408
Irish Cream - Baileys,"Rau, Hahn and Boehm",1761,XL,56.71,68.052
Shiratamako - Rice Flour,Crooks-Baumbach,2849,S,10.62,12.744
Longos - Grilled Veg Sandwiches,Wintheiser-Jacobs,4299,L,66.01,79.212
Longos - Chicken Cordon Bleu,"Graham, Pfeffer and Parisian",462,XL,54.8,65.76
"Chicken - Thigh, Bone In",Jerde-D'Amore,3739,XS,58.96,70.752
Sugar - Invert,O'Keefe Inc,4017,S,44.46,53.352
Glove - Cutting,"Wilkinson, Tromp and Breitenberg",1851,3XL,52.75,63.3
Chocolate Bar - Smarties,"Legros, MacGyver and Kessler",278,XS,69.06,82.872
Bowl 12 Oz - Showcase 92012,"Shanahan, Erdman and Lakin",2710,XL,7.59,9.108
Pepper - Green,"Welch, Leannon and Bode",4729,XS,98.66,118.392
Beer - Creemore,Marvin-Lynch,2702,XS,97.84,117.408
Knife Plastic - White,O'Keefe Group,892,L,96.69,116.028
Wine - Barossa Valley Estate,Lang Group,3226,2XL,97.87,117.444
Bagel - Sesame Seed Presliced,Quitzon Group,1455,L,92.6,111.12
"Wine - Red, Cooking",Orn Inc,4296,L,90.82,108.984
Eggs - Extra Large,Dicki-Lehner,3254,XS,8.72,10.464
Wine - Chateau Aqueria Tavel,Shields LLC,4574,XS,22.19,26.628
Smoked Paprika,Leffler-Schumm,4169,XS,7.88,9.456
Sauce - Sesame Thai Dressing,Koch-Rohan,3327,M,35.8,42.96
Mcgillicuddy Vanilla Schnap,"Ryan, Fisher and Graham",1992,3XL,11.62,13.944
Coconut - Whole,McDermott Inc,3854,M,74.09,88.908
"Beef - Ox Tail, Frozen","Howe, Murphy and D'Amore",352,XS,14.38,17.256
Wine - Chateau Aqueria Tavel,Kohler and Sons,3893,XS,13.05,15.66
"Bread - Roll, Calabrese",Stamm-Dooley,4443,3XL,1.79,2.148
"Tarragon - Primerba, Paste",Doyle-Yundt,4486,2XL,11.82,14.184
Pear - Packum,"Bauch, Beer and Walker",4858,XS,33.17,39.804
"Lamb - Whole Head Off,nz",Powlowski Inc,1550,XL,41.85,50.22
Wine - Fontanafredda Barolo,Miller-Johns,4843,2XL,75.02,90.024
"Soup - Knorr, Classic Can. Chili",Jaskolski-Borer,4828,L,91.96,110.352
Plasticknivesblack,Prohaska Inc,4626,L,68.64,82.368
Grapefruit - White,Goldner-Goodwin,3471,S,47.22,56.664
Squid - U 5,"Weissnat, Hansen and Schoen",4384,XS,26.99,32.388
"Veal - Round, Eye Of",Weimann and Sons,4374,S,25.89,31.068
Chicken Thigh - Bone Out,"Ward, Carroll and Bahringer",4435,S,33.85,40.62
Capers - Pickled,Hamill-Graham,1432,2XL,33.99,40.788
Nantucket - Orange Mango Cktl,Herzog and Sons,3814,XL,28.72,34.464
Chocolate Eclairs,Emmerich Group,2864,XL,23.16,27.792
Chocolate - Milk Coating,Gorczany LLC,2144,3XL,18.52,22.224
Alize Sunset,"Beahan, Kuhic and Gorczany",3617,2XL,49.34,59.208
"Bread - Pumpernickle, Rounds","Ortiz, Schuster and Hoppe",1505,M,58.78,70.536
Seedlings - Clamshell,"Shields, Emard and Braun",4619,M,80.15,96.18
Pastry - Chocolate Chip Muffin,Heathcote-Gerhold,1886,XL,7.69,9.228
"Coke - Classic, 355 Ml","O'Connell, Hudson and Padberg",2660,2XL,5.58,6.696
"Tea - Darjeeling, Azzura",O'Hara-Schimmel,1900,S,51.31,61.572
Lemons,Durgan-Franecki,4795,XL,51.38,61.656
Squash - Butternut,Bahringer LLC,4773,S,96.73,116.076
Pear - Packum,Pfannerstill LLC,573,3XL,53.99,64.788
Lamb Rack Frenched Australian,Williamson-Hoeger,274,XL,99.25,119.1
Radish,Tillman LLC,560,3XL,75.76,90.912
Rhubarb,Nienow Inc,3312,2XL,54.32,65.184
Pork - Bones,Leffler LLC,1999,XS,51.36,61.632
Macaroons - Two Bite Choc,Bruen LLC,1536,2XL,48.53,58.236
Muffin - Mix - Creme Brule 15l,Predovic-Klocko,2835,2XL,70.32,84.384
Gooseberry,Reichert LLC,1948,XL,29.37,35.244
"Nut - Chestnuts, Whole","Monahan, Nitzsche and Ratke",2199,3XL,5.24,6.288
"Tart Shells - Savory, 3",Kohler-Rolfson,3367,XL,31.39,37.668
Soup - Campbellschix Stew,"Prohaska, Hansen and Emard",2114,S,57.95,69.54
Vinegar - Raspberry,"Romaguera, Dare and Douglas",3191,3XL,97.59,117.108
Island Oasis - Peach Daiquiri,Altenwerth-White,4726,3XL,22.51,27.012
Hipnotiq Liquor,"Schaefer, Schimmel and Purdy",4424,M,14.98,17.976
"Chicken - Base, Ultimate",Metz-Emmerich,2192,3XL,72.52,87.024
Fondant - Icing,Hagenes-Greenfelder,273,2XL,67.13,80.556
"Wine - Saint - Bris 2002, Sauv","Wilderman, Lebsack and Cormier",757,3XL,20.66,24.792
Nougat - Paste / Cream,Pfannerstill-Hermann,656,3XL,14.59,17.508
"Pork - Tenderloin, Frozen",Williamson-Stark,3073,XL,60.96,73.152
"Juice - Apple, 1.36l","Glover, Casper and Parisian",1979,S,7.08,8.496
Dc - Sakura Fu,Flatley-Little,4811,2XL,76.41,91.692
Butter - Pod,Conn-Kassulke,16,M,77.87,93.444
"Wine - White, Mosel Gold",Berge-Buckridge,4510,3XL,68.21,81.852
Cheese - Cheddarsliced,"Cronin, VonRueden and Brakus",2196,XL,74.98,89.976
Dragon Fruit,Beer Inc,4887,XL,94.41,113.292
Sauce - Roasted Red Pepper,"Brakus, Torp and Beier",3870,M,59.64,71.568
Beef - Ground Lean Fresh,Cremin-Schaden,530,S,51.86,62.232
"Wine - White, Pinot Grigio",Conroy-Ledner,2454,XS,60.09,72.108
Uniform Linen Charge,Bode-Ritchie,1002,XS,64.84,77.808
Mushrooms - Honey,Dickens Inc,2270,S,58.49,70.188
Beef - Bresaola,"Jacobi, Moen and Conroy",3835,3XL,87.54,105.048
Wine - Taylors Reserve,Wehner and Sons,2745,M,73.91,88.692
Ezy Change Mophandle,"Kling, Collier and Champlin",4499,L,21.84,26.208
Veal - Striploin,Maggio Inc,4249,L,85.21,102.252
"Cheese - Havarti, Salsa","Kunde, Schamberger and Stiedemann",4583,XS,46.52,55.824
Soup - Campbells Pasta Fagioli,Buckridge Group,729,2XL,76.89,92.268
Red Cod Fillets - 225g,"McDermott, West and Kreiger",1591,L,36.89,44.268
Appetiser - Bought,Roberts-McKenzie,1510,S,78.37,94.044
Fondant - Icing,"Bruen, Towne and Fay",325,S,18.06,21.672
Icecream - Dibs,Parker-Williamson,1698,M,69.47,83.364
"Pail - 15l White, With Handle",Daugherty-Bogisich,899,2XL,67.86,81.432
Prunes - Pitted,Runte-Kerluke,2107,S,89.71,107.652
"Water - Mineral, Natural",Kiehn Group,1142,L,70.64,84.768
Wine - Prosecco Valdobiaddene,Armstrong Inc,1938,L,64.14,76.968
Venison - Racks Frenched,"Williamson, Thompson and Moen",1075,3XL,30.55,36.66
Pie Pecan,"Bogan, Koelpin and Brown",55,S,20.11,24.132
Island Oasis - Cappucino Mix,Bins-O'Conner,4464,L,53.99,64.788
Honey - Liquid,Hickle and Sons,4679,XL,92.99,111.588
"Pork - Chop, Frenched",Schaden Group,3446,3XL,8.66,10.392
"Pepper - Paprika, Spanish","Ebert, Breitenberg and McKenzie",556,2XL,72.52,87.024
Pork - Kidney,Treutel and Sons,2765,XS,58.91,70.692
"Pail - 15l White, With Handle",Kerluke-Schmeler,4724,XL,30.77,36.924
"Sauce - Soya, Dark",Labadie-Wilderman,2822,XS,11.79,14.148
"Pasta - Gnocchi, Potato","Erdman, Ledner and Kunde",1553,3XL,79.64,95.568
Wine - Rhine Riesling Wolf Blass,"Kautzer, Mosciski and Daugherty",2979,M,99.3,119.16
"Pork - Tenderloin, Fresh","Lehner, Hilpert and Dickinson",4201,L,10.74,12.888
Prunes - Pitted,Johns LLC,1936,2XL,16.99,20.388
Garlic - Elephant,"Crona, Gleason and Dach",1486,2XL,41.31,49.572
Soup Campbells Turkey Veg.,"Reinger, Gorczany and Dicki",2867,XS,71.36,85.632
Long Island Ice Tea,Cormier-Rolfson,3805,S,91.77,110.124
Wine - Penfolds Koonuga Hill,"Gulgowski, Gulgowski and Kub",543,3XL,1.46,1.752
Shiratamako - Rice Flour,"Pfeffer, Kunde and Schaden",2992,S,81.34,97.608
Lamb Shoulder Boneless Nz,Willms LLC,4707,2XL,63.67,76.404
Garbage Bags - Black,"Schinner, Goldner and Reichel",4114,3XL,51.15,61.38
Grenadillo,"Emmerich, Mraz and Klein",3579,2XL,66.33,79.596
Ice Cream Bar - Oreo Sandwich,Morar-West,4136,S,45.73,54.876
Banana - Green,Johns and Sons,1267,L,24.27,29.124
Appetizer - Asian Shrimp Roll,Lockman LLC,4964,S,72.7,87.24
Lentils - Green Le Puy,Schumm Inc,1006,XS,31.69,38.028
Table Cloth 62x120 White,Bailey-Koepp,3250,M,78.06,93.672
Veal - Provimi Inside,Jenkins and Sons,1008,3XL,62.05,74.46
Pheasants - Whole,"Balistreri, Bahringer and Torp",2388,M,47.31,56.772
Grapes - Black,Vandervort-Douglas,58,2XL,12.68,15.216
Bagel - Sesame Seed Presliced,Baumbach-Harvey,424,2XL,20.87,25.044
Sauce - Fish 25 Ozf Bottle,Schmidt-Leffler,2338,XL,74.93,89.916
"Squash - Pattypan, Yellow","Graham, Ruecker and Bartoletti",4941,2XL,66.46,79.752
Magnotta Bel Paese Red,Schumm and Sons,2183,2XL,24.86,29.832
Flower - Commercial Bronze,Buckridge Group,258,S,93.35,112.02
Cheese - Victor Et Berthold,"Kiehn, Blick and Robel",1275,XS,58.3,69.96
Chinese Foods - Chicken,Mann-Predovic,389,XL,70.66,84.792
Broom And Brush Rack Black,"Lubowitz, Harber and Turner",1653,2XL,90.46,108.552
Island Oasis - Strawberry,Crooks-Ankunding,2774,XL,19.71,23.652
"Vodka - Hot, Lnferno",Turcotte and Sons,3666,M,24.49,29.388
"Lamb - Leg, Diced",Willms LLC,500,3XL,14.14,16.968
Fond - Chocolate,Luettgen-Pfeffer,1815,2XL,71.37,85.644
Lettuce - Boston Bib - Organic,Herzog LLC,4591,M,26.99,32.388
"Asparagus - White, Fresh",Goldner-Medhurst,2963,S,35.86,43.032
Cheese - Wine,Breitenberg-Schowalter,771,2XL,53.16,63.792
"Wine - Mas Chicet Rose, Vintage","Shanahan, Gislason and Jakubowski",2514,2XL,67.7,81.24
Wine - Jaboulet Cotes Du Rhone,Purdy LLC,1797,XL,55.92,67.104
Bay Leaf Fresh,Corwin and Sons,3867,3XL,56.28,67.536
"Wine - White, Mosel Gold",Davis Group,523,M,75.03,90.036
Goldschalger,"Cremin, Reichel and Zulauf",1220,S,53.73,64.476
Icecream - Dstk Strw Chseck,Brown-Huels,2236,XL,60.97,73.164
"Wine - White, Gewurtzraminer","Tremblay, Erdman and Leuschke",2086,XS,21.3,25.56
Compound - Mocha,"Goyette, Nitzsche and O'Connell",1647,3XL,59.84,71.808
"Pasta - Orzo, Dry",Stracke-Moen,1947,M,44.29,53.148
Parsley - Dried,"Hudson, Bernhard and Wehner",4521,XL,1.67,2.004
Barley - Pearl,Funk and Sons,4804,M,37.96,45.552
Bread - Hot Dog Buns,Durgan-Gutkowski,187,S,39.31,47.172
Egg - Salad Premix,"Boyle, Deckow and Blick",4918,L,38.0,45.6
Wine - Chateau Timberlay,Koelpin-Fadel,2614,XL,93.04,111.648
Mudslide,"Swift, Daugherty and Wisoky",3103,XL,92.64,111.168
Jolt Cola,"Murray, Fay and Boehm",3610,M,46.77,56.124
Beef Cheek Fresh,Hansen-Turcotte,2830,XS,75.59,90.708
"Melon - Watermelon, Seedless","Leuschke, Haag and Kling",2598,3XL,98.46,118.152
Beef - Short Ribs,"Funk, Kertzmann and Wehner",2839,M,77.27,92.724
Potatoes - Pei 10 Oz,"Deckow, Herman and Brown",171,XL,80.27,96.324
Cape Capensis - Fillet,Davis Inc,1429,3XL,4.77,5.724
Cheese - Augre Des Champs,White-Lindgren,2005,M,41.44,49.728
Cheese Cheddar Processed,Flatley and Sons,381,L,52.28,62.736
Sauce - Salsa,"Welch, Bradtke and Haley",2086,XL,71.87,86.244
"Pork - Back, Long Cut, Boneless","Hahn, Douglas and Marks",1422,S,36.73,44.076
Longos - Chicken Wings,Brekke-Barrows,3770,2XL,34.41,41.292
Cheese - Cheddar With Claret,Nitzsche Inc,1269,XL,11.88,14.256
"Wine - Red, Concha Y Toro","Braun, Welch and Botsford",2114,L,19.18,23.016
Flour - Strong Pizza,Goyette-Borer,2750,L,35.12,42.144
Shrimp - Black Tiger 13/15,"Leuschke, Auer and Crist",1736,3XL,89.05,106.86
Nantucket - Kiwi Berry Cktl.,"Schoen, Hansen and Lubowitz",1187,2XL,71.19,85.428
Yams,Emmerich-Langosh,4065,S,64.82,77.784
"Pasta - Cannelloni, Sheets, Fresh",Shanahan Group,4222,S,53.09,63.708
Peas - Frozen,Orn Inc,385,S,42.49,50.988
Crackers - Soda / Saltins,Windler-Hintz,3881,M,6.0,7.2
Soup Campbells,"Boyer, Spencer and Pollich",270,L,47.85,57.42
"Peas - Pigeon, Dry",Stamm-Stoltenberg,1743,S,59.32,71.184
Wine - Lou Black Shiraz,Denesik and Sons,4993,3XL,25.75,30.9
Pastry - Cheese Baked Scones,Homenick-Kozey,3534,L,21.79,26.148
Coconut - Whole,McCullough-Feil,4080,S,50.74,60.888
Milk - Condensed,"Bashirian, Steuber and Morar",3747,M,70.1,84.12
Vaccum Bag - 14x20,"Ortiz, Koepp and Hirthe",4199,S,84.72,101.664
Toamtoes 6x7 Select,Gibson-Dickinson,4671,M,19.66,23.592
Dish Towel,"Jacobson, Windler and Fisher",284,XS,42.77,51.324
Oil - Canola,King-Becker,1720,M,72.43,86.916
"Crab - Dungeness, Whole",Daniel-Koelpin,13,M,72.24,86.688
Water - Evian 355 Ml,"Kutch, Wiza and Beatty",3230,S,44.95,53.94
Arizona - Plum Green Tea,"Morar, Nicolas and Hermann",1754,S,72.78,87.336
"Wine - Magnotta, Merlot Sr Vqa","Gaylord, Dooley and Kertzmann",1212,XS,39.22,47.064
"Ham - Smoked, Bone - In",Shanahan Group,498,M,9.01,10.812
"Wine - White, Pinot Grigio",Pagac-Klocko,46,3XL,17.43,20.916
"Sauce - White, Mix",Boyer Inc,2339,M,78.79,94.548
Veal - Bones,"D'Amore, Hauck and Mayert",3496,XL,13.13,15.756
"Cherries - Bing, Canned",Vandervort and Sons,3468,XL,23.4,28.08
Bread - Raisin Walnut Oval,Lebsack Inc,15,L,28.4,34.08
"Wine - Red, Mosaic Zweigelt",Kirlin Inc,1535,S,70.86,85.032
Coffee - Decaffeinato Coffee,"Olson, Bergstrom and Walter",1625,L,6.38,7.656
Pastry - Apple Muffins - Mini,Corkery-Green,693,M,67.64,81.168
"7up Diet, 355 Ml",Lueilwitz Group,3477,XL,21.85,26.22
Amarula Cream,Wolff-Zulauf,1950,M,49.54,59.448
Shallots,"Kris, Weimann and Senger",4386,S,94.0,112.8
Juice - Prune,"Greenholt, Reilly and Trantow",2049,L,30.12,36.144
"Corn - Cream, Canned","Erdman, Beier and Eichmann",375,2XL,9.57,11.484
Sprouts - China Rose,"Sporer, O'Conner and Jast",676,3XL,58.41,70.092
Brandy Apricot,"Blick, Rodriguez and Mayer",4176,XS,19.97,23.964
Sugar - Monocystal / Rock,Trantow and Sons,2577,2XL,83.05,99.66
Cheese - Cheddarsliced,Pagac LLC,3819,L,31.62,37.944
Table Cloth 81x81 White,"Hegmann, Stark and Swaniawski",614,S,39.72,47.664
Pecan Raisin - Tarts,"Nicolas, Orn and Hauck",58,3XL,78.11,93.732
Bread - Raisin Walnut Pull,"Quigley, Kovacek and Heidenreich",1572,XS,6.63,7.956
Cheese - Feta,"Grimes, Olson and Nolan",1263,S,1.25,1.5
Tofu - Soft,Lang-Gislason,2688,XL,87.56,105.072
Ecolab - Power Fusion,Kautzer Inc,86,M,63.79,76.548
Blackberries,Hills Group,3059,S,74.65,89.58
Taro Leaves,"Hammes, Wisoky and Rogahn",3435,M,48.15,57.78
"Fish - Artic Char, Cold Smoked",Upton and Sons,2936,3XL,11.26,13.512
Passion Fruit,Volkman and Sons,2938,2XL,24.73,29.676
Coffee - Egg Nog Capuccino,Koss and Sons,4232,L,3.36,4.032
Nantucket Apple Juice,"Schulist, O'Keefe and Funk",3603,XS,21.85,26.22
"Trout - Hot Smkd, Dbl Fillet","Terry, Rath and Jerde",2112,M,90.7,108.84
Nougat - Paste / Cream,"Treutel, Davis and Hodkiewicz",4262,3XL,16.62,19.944
Island Oasis - Banana Daiquiri,Schuster Group,2544,3XL,47.69,57.228
Napkin White - Starched,"Huels, Funk and Lueilwitz",4624,3XL,10.34,12.408
Lettuce Romaine Chopped,"Conroy, Pacocha and Gleason",4924,M,45.48,54.576
Relish,Howe Group,4525,2XL,58.82,70.584
Wine - Ice Wine,Koss LLC,4810,XS,43.14,51.768
Monkfish Fresh - Skin Off,Flatley-Weissnat,1661,3XL,55.86,67.032
Miso - Soy Bean Paste,"Little, Kuphal and Barrows",1711,2XL,47.04,56.448
Chicken Giblets,"Blick, Hyatt and Kilback",1975,L,56.78,68.136
Wine - White Cab Sauv.on,Fahey-Roob,2073,3XL,27.15,32.58
"Beef - Ox Tail, Frozen",Christiansen and Sons,58,XS,56.79,68.148
