Artikel,Lieferant,Lagerbestand,Verpackungseinheit,Einkaufspreis,Verkaufspreis
Apple - Royal Gala,Harris-Beer,3812,3XL,90.56,108.672
Cut Wakame - Hanawakaba,Parisian and Sons,2556,XS,27.36,32.832
Sobe - Cranberry Grapefruit,"Wuckert, Shields and Beier",4489,L,45.99,55.188
"Lamb - Whole, Fresh","Sawayn, Towne and Dach",2722,S,83.76,100.512
"Chocolate - Semi Sweet, Calets","Kihn, Russel and Kessler",1222,L,55.48,66.576
Mahi Mahi,"Ratke, Kozey and Luettgen",2295,3XL,40.34,48.408
Oil - Margarine,Runolfsson and Sons,1291,S,10.6,12.72
"Beef - Roasted, Cooked","Dooley, Dare and Haag",3447,2XL,35.23,42.276
"Pasta - Cannelloni, Sheets, Fresh",Pagac-Keeling,1151,S,14.02,16.824
"Wine - White, Pelee Island",Witting-Shields,350,XL,58.48,70.176
V8 - Tropical Blend,Beer Inc,3191,M,43.22,51.864
Lamb Shoulder Boneless Nz,Hoeger Group,2961,M,74.13,88.956
Flour - Strong,Rutherford-Murphy,1803,M,35.07,42.084
"Shrimp - 16 - 20 Cooked, Peeled","Breitenberg, Dooley and Fisher",3775,S,92.1,110.52
"Flour - Bran, Red","Kozey, Bergstrom and Predovic",1312,3XL,30.83,36.996
Pineapple - Regular,Renner and Sons,2703,2XL,8.9,10.68
"Tomatoes - Cherry, Yellow",Friesen-Simonis,2929,XL,76.61,91.932
Milk - Buttermilk,Ritchie LLC,3226,M,98.64,118.368
"Sparkling Wine - Rose, Freixenet",Walsh LLC,1676,XS,27.02,32.424
Soup - Campbells Bean Medley,"Borer, Torphy and Schowalter",4304,3XL,60.69,72.828
Cabbage - Nappa,Cruickshank-Funk,3550,S,51.89,62.268
Tart - Butter Plain Squares,Gutkowski Inc,673,3XL,34.65,41.58
Remy Red Berry Infusion,Donnelly LLC,3575,M,75.97,91.164
Bread Ww Cluster,Breitenberg Inc,1406,M,97.05,116.46
Bagels Poppyseed,"Douglas, Homenick and Ruecker",3350,L,8.8,10.56
Grapefruit - White,Nolan Inc,827,3XL,18.02,21.624
"Lemonade - Kiwi, 591 Ml",Lowe LLC,2943,XL,87.48,104.976
"Soup - Campbells, Classic Chix",Zulauf Inc,3832,S,89.54,107.448
"Sparkling Wine - Rose, Freixenet",Schultz Group,2540,XS,18.95,22.74
Pepper - Red Thai,Leuschke Group,1637,S,49.59,59.508
Wine - Semi Dry Riesling Vineland,"Lehner, Krajcik and Waters",3104,M,4.29,5.148
Beer - Guiness,"Borer, Okuneva and Murray",1505,2XL,29.75,35.7
Chip - Potato Dill Pickle,Durgan Group,1745,XL,36.87,44.244
Calaloo,Schimmel-Bergstrom,2508,S,48.39,58.068
"Club Soda - Schweppes, 355 Ml",Zulauf-Abernathy,4496,XL,36.64,43.968
Watercress,"Leannon, Hyatt and Cremin",4665,L,59.2,71.04
Alize Gold Passion,"Mann, Ryan and Nicolas",1582,3XL,9.57,11.484
Mace Ground,Moen-Gerhold,858,M,56.63,67.956
Bread - Dark Rye,Rutherford-Mosciski,661,2XL,33.99,40.788
Celery Root,Cormier-Labadie,4841,XL,69.54,83.448
"Wine - Red, Colio Cabernet",Haag-Bogisich,3971,2XL,93.49,112.188
Shrimp - Black Tiger 13/15,O'Keefe-Dach,2216,S,70.17,84.204
Soup - French Can Pea,Weissnat LLC,4563,S,11.18,13.416
Sprouts - Peppercress,Ullrich Group,639,S,72.82,87.384
Coffee Beans - Chocolate,Reichel and Sons,4522,M,62.93,75.516
"Apple - Delicious, Red","Rau, Turcotte and Abernathy",3378,2XL,93.26,111.912
Pork - Kidney,"Halvorson, Oberbrunner and Cormier",559,M,93.02,111.624
Pepper - Red Bell,Balistreri Group,3124,M,62.49,74.988
Tomatoes - Cherry,"Dibbert, Torp and Legros",4249,XL,29.48,35.376
Soup - Base Broth Chix,Reynolds Inc,1352,XS,75.58,90.696
Tea - Decaf 1 Cup,Williamson-Wisozk,1650,L,47.82,57.384
Chips - Potato Jalapeno,Mayert LLC,3083,2XL,53.74,64.488
"7up Diet, 355 Ml","Hamill, Volkman and Schroeder",4789,2XL,67.94,81.528
"Cod - Salted, Boneless","McGlynn, Reilly and Feest",922,XS,71.34,85.608
Chips - Assorted,"Adams, Steuber and Hyatt",1732,L,18.51,22.212
Rice - Basmati,Kovacek Inc,4662,2XL,31.21,37.452
Drambuie,Greenfelder-Champlin,1701,XS,20.82,24.984
Tomato Paste,"Bartell, Beer and Armstrong",602,S,23.16,27.792
"Asparagus - White, Fresh",Price Inc,1994,L,19.38,23.256
Pepsi - 600ml,"Fisher, Dare and Boyer",4356,2XL,11.2,13.44
Milk - Skim,Casper-Wilderman,535,L,49.01,58.812
Squash - Sunburst,Hane-Mayer,516,3XL,12.79,15.348
Jameson Irish Whiskey,Konopelski and Sons,99,2XL,20.44,24.528
Glove - Cutting,"Farrell, Rogahn and Aufderhar",3349,XL,34.18,41.016
"Pork - Bacon,back Peameal",Schmitt-Jerde,4085,L,42.09,50.508
Soap - Pine Sol Floor Cleaner,Greenholt-Moen,3822,M,93.2,111.84
Flour - Strong Pizza,"Mertz, Schaefer and Wolf",3023,S,5.37,6.444
Rabbit - Legs,Baumbach-Stracke,2534,L,29.13,34.956
Sobe - Orange Carrot,Tromp-Yundt,4596,L,70.74,84.888
Walkers Special Old Whiskey,"Kassulke, Dare and Jacobson",3681,S,73.2,87.84
Blouse / Shirt / Sweater,Skiles and Sons,3706,L,76.6,91.92
Pears - Anjou,Volkman-Balistreri,1872,S,98.85,118.62
Tia Maria,"Hauck, Wilderman and Hahn",1120,3XL,39.52,47.424
Devonshire Cream,Torphy and Sons,4484,M,86.25,103.5
Wine - Rioja Campo Viejo,Dicki-Kautzer,2991,2XL,68.87,82.644
Energy Drink,"Treutel, Kuvalis and Wisoky",2021,XS,70.22,84.264
"Fish - Scallops, Cold Smoked","Streich, Wolf and Kuphal",342,M,99.15,118.98
Wine - Trimbach Pinot Blanc,"Anderson, Jast and Smitham",1623,S,88.98,106.776
Longos - Grilled Salmon With Bbq,O'Connell Inc,2291,L,22.51,27.012
Cookies - Assorted,"Dicki, Schiller and Douglas",2352,3XL,63.58,76.296
Blackberries,Harris-Greenfelder,4607,XL,72.91,87.492
Calaloo,Berge and Sons,3411,S,45.31,54.372
Fenngreek Seed,Anderson-Kuhic,3495,2XL,40.03,48.036
Oxtail - Cut,Jones-Johnson,3264,XS,37.14,44.568
Bread - Raisin,"Lehner, Bednar and Nienow",2410,L,1.27,1.524
Sauce - Cranberry,Oberbrunner-Bartell,4983,L,86.52,103.824
Red Pepper Paste,Bogisich Inc,2621,XS,83.32,99.984
"Soup - Clam Chowder, Dry Mix",Herman LLC,4462,S,77.22,92.664
Yoplait Drink,Gerhold-Fritsch,3247,L,56.17,67.404
Chinese Lemon Pork,Williamson-Williamson,2203,2XL,59.23,71.076
Sprouts Dikon,Murphy and Sons,3042,M,39.0,46.8
Bar Mix - Lemon,Rodriguez LLC,4956,L,74.2,89.04
"Sugar - Brown, Individual",Larkin Inc,3097,2XL,55.17,66.204
Cookie Double Choco,"Pouros, Erdman and Jaskolski",1173,2XL,75.29,90.348
Cheese - Sheep Milk,Hessel Group,2735,2XL,18.97,22.764
"Pasta - Bauletti, Chicken White",Wunsch-Schmitt,3423,XL,88.26,105.912
Kellogs Cereal In A Cup,Graham-Lockman,999,XS,69.56,83.472
Sweet Pea Sprouts,"Koepp, Leannon and O'Conner",1492,2XL,92.08,110.496
Dc Hikiage Hira Huba,Nolan Inc,1523,S,26.0,31.2
"Bread - Roll, Calabrese",Ruecker-King,809,XS,3.86,4.632
Water - Perrier,Bradtke Inc,863,3XL,78.26,93.912
"Red Snapper - Fillet, Skin On","Hayes, Welch and Streich",2290,S,29.18,35.016
"Bread - Pita, Mini",Hegmann and Sons,2165,XL,63.02,75.624
Pepper - Green,Bartell-Beer,2135,XL,19.81,23.772
Beef - Striploin,Walsh-Dickens,981,3XL,76.33,91.596
Vaccum Bag 10x13,Ondricka and Sons,3659,XL,3.09,3.708
Urban Zen Drinks,VonRueden-Johnston,1975,M,40.47,48.564
Quinoa,Zulauf LLC,2000,2XL,66.63,79.956
Sambuca - Ramazzotti,Hand-Ledner,1063,L,73.65,88.38
"Soup - Campbells, Creamy",McGlynn-Rohan,703,XL,59.27,71.124
Broom - Angled,"Lockman, Fadel and Quigley",2625,L,57.37,68.844
Cheese Cloth,Balistreri-Balistreri,1822,3XL,12.2,14.64
Tea - Herbal Orange Spice,"Anderson, Hettinger and Bode",399,XS,83.02,99.624
Cleaner - Pine Sol,O'Hara and Sons,1663,XS,14.26,17.112
Nantucket - 518ml,Williamson-Botsford,3619,S,79.79,95.748
Ice Cream - Strawberry,Emard-Kuhn,4626,XS,20.71,24.852
Table Cloth 54x72 Colour,"Dare, Kuvalis and Mayer",3021,3XL,94.34,113.208
Mix - Cocktail Strawberry Daiquiri,Volkman LLC,3958,S,41.5,49.8
Coffee - French Vanilla Frothy,"Willms, Kovacek and Torphy",4483,M,78.48,94.176
"Plate - Foam, Bread And Butter",Boehm-Towne,4190,3XL,61.97,74.364
"Wine - White, French Cross","Feest, Powlowski and Blick",3949,XL,51.84,62.208
Mussels - Frozen,Metz-Jerde,3886,XL,38.35,46.02
Wine - German Riesling,"Lehner, Bosco and Jacobs",3322,L,49.63,59.556
Syrup - Monin - Granny Smith,Satterfield-Stark,4956,M,29.17,35.004
Yucca,Streich-Ernser,2404,L,49.44,59.328
"Beef - Rouladin, Sliced",Bruen-Wolff,473,3XL,61.41,73.692
Chicken - Ground,"Schimmel, Shanahan and Olson",3487,L,24.68,29.616
Rabbit - Whole,"Volkman, Strosin and Breitenberg",4280,S,50.03,60.036
Flour - Rye,"Shields, Hegmann and Heller",2436,3XL,58.39,70.068
"Beans - Long, Chinese","Feeney, Heller and Steuber",4134,3XL,95.63,114.756
Ecolab - Hand Soap Form Antibac,"Rosenbaum, Barton and Haley",2621,L,90.24,108.288
"Napkin - Dinner, White",Stokes-Stark,3699,2XL,51.68,62.016
"Artichoke - Hearts, Canned","Upton, Von and Gusikowski",4656,L,38.45,46.14
Yukon Jack,Spencer-Mohr,1433,S,12.58,15.096
Glass Clear 8 Oz,Will-Okuneva,2854,3XL,6.68,8.016
Bar - Granola Trail Mix Fruit Nut,Wuckert-Stehr,503,XS,68.34,82.008
Juice - V8 Splash,Balistreri-Leannon,3467,2XL,11.86,14.232
"Mop Head - Cotton, 24 Oz",Gusikowski-Howell,4871,3XL,11.35,13.62
Cheese - Comtomme,Ruecker-Monahan,3100,XL,52.58,63.096
Milk Powder,"Crist, Weber and Mayer",4844,3XL,71.39,85.668
Mcgillicuddy Vanilla Schnap,"Huel, King and Beer",2474,XS,41.03,49.236
Veal - Sweetbread,Kunde Inc,89,XL,7.17,8.604
Chick Peas - Dried,"Parisian, Powlowski and Cronin",228,XL,55.86,67.032
Mahi Mahi,"Schimmel, Runte and Hintz",4831,XS,48.07,57.684
Pate - Liver,McClure-Konopelski,868,L,72.5,87.0
Oil - Avocado,Walsh-Torp,3808,XS,5.55,6.66
Bread - Frozen Basket Variety,Morissette Group,4174,L,84.8,101.76
Raspberries - Fresh,Lesch Group,1108,XL,97.7,117.24
Cardamon Ground,"Harris, Keebler and Ferry",2011,3XL,12.21,14.652
"Juice - Pineapple, 341 Ml",Orn Inc,2664,XL,73.86,88.632
"Beef - Tongue, Cooked",Schmidt-Pouros,1796,M,97.37,116.844
Chives - Fresh,Erdman-Reichel,4068,2XL,2.78,3.336
"Nut - Pecan, Pieces",Lang LLC,415,2XL,94.23,113.076
Pie Shell - 5,Bogisich-Wisozk,762,S,39.66,47.592
Muffin - Bran Ind Wrpd,"Kohler, Cronin and Bergnaum",1968,XL,25.73,30.876
Water - Green Tea Refresher,Thiel LLC,1253,L,66.43,79.716
Salt - Sea,Jacobson Inc,3997,M,42.45,50.94
Corn Meal,"Rogahn, Glover and Emard",417,XL,78.57,94.284
Wine - Two Oceans Sauvignon,Jacobson-Smitham,29,XL,51.66,61.992
Chicken - Whole,"Dietrich, Moen and Krajcik",708,M,59.21,71.052
Bread Sour Rolls,"Feest, Upton and Trantow",4521,3XL,74.94,89.928
Pork Casing,"O'Reilly, Kling and McCullough",57,L,23.59,28.308
"Bread - Multigrain, Loaf","Franecki, Dare and Mohr",1535,XS,81.07,97.284
Scallops - Live In Shell,Schmeler and Sons,2044,2XL,74.09,88.908
Dooleys Toffee,Leffler-Heller,4162,XL,72.38,86.856
"Capon - Breast, Wing On","Feeney, Reinger and Beatty",2970,S,3.87,4.644
Ecolab - Balanced Fusion,Cummerata-Walker,1089,L,44.01,52.812
Bread - Pain Au Liat X12,Osinski LLC,2134,S,25.87,31.044
Bread - Multigrain Oval,Williamson Group,4002,XL,64.2,77.04
V8 Pet,Hahn-Pfeffer,2184,XS,16.73,20.076
Country Roll,Little-Bode,1797,S,68.91,82.692
Wine - Baron De Rothschild,"Schiller, Lockman and Doyle",4454,S,95.77,114.924
Avocado,"Zulauf, Oberbrunner and King",3396,XS,85.78,102.936
Swordfish Loin Portions,Wintheiser LLC,1700,M,91.81,110.172
Peas Snow,"Kilback, Fritsch and Nader",4881,XL,46.88,56.256
Cactus Pads,Toy Inc,1360,2XL,62.16,74.592
"Salmon - Atlantic, Fresh, Whole",O'Keefe and Sons,3646,2XL,36.64,43.968
Container Clear 8 Oz,O'Connell-Weimann,769,3XL,22.66,27.192
Flour - All Purpose,"Balistreri, Renner and Hegmann",1170,L,93.75,112.5
Russian Prince,Lynch-Fritsch,3932,2XL,75.57,90.684
Temperature Recording Station,Maggio and Sons,2963,3XL,37.58,45.096
Lamb - Ground,Prohaska Inc,3466,XL,49.86,59.832
Hand Towel,Hoeger LLC,2360,L,58.01,69.612
Sugar - Fine,"Cummings, DuBuque and Denesik",4741,XL,64.32,77.184
Cookie Double Choco,Lynch Group,556,3XL,81.91,98.292
Lotus Root,Ullrich Group,3187,M,46.96,56.352
"Coffee - Beans, Whole",MacGyver Group,4309,XS,14.3,17.16
Veal - Knuckle,Satterfield Inc,3818,L,57.1,68.52
Broom Handle,Moen Group,4862,3XL,27.5,33.0
Pepper - Red Thai,"Towne, Wisozk and Hayes",2735,S,46.35,55.62
Sour Puss - Tangerine,Nikolaus Inc,4820,S,94.93,113.916
Hummus - Spread,Rice and Sons,2190,2XL,91.91,110.292
Chutney Sauce,Beer LLC,2352,2XL,22.23,26.676
Red Pepper Paste,Nitzsche-Wilkinson,3934,XL,45.3,54.36
"Wine - Red, Antinori Santa","Heller, Durgan and O'Hara",4123,XL,79.82,95.784
Lemonade - Pineapple Passion,Satterfield-Kemmer,3013,S,58.47,70.164
Sword Pick Asst,Wyman and Sons,80,M,72.22,86.664
Salt - Celery,Leffler-Wilderman,597,2XL,93.41,112.092
Alize Gold Passion,Botsford Group,3469,XS,25.38,30.456
Cookies - Englishbay Oatmeal,Little-Bernhard,3540,3XL,14.93,17.916
"Tart Shells - Sweet, 3",Gutkowski-Jones,3676,3XL,69.58,83.496
Lettuce - Boston Bib,D'Amore and Sons,613,2XL,16.87,20.244
Myers Planters Punch,Carter-Barrows,4928,3XL,78.34,94.008
Rice Paper,"Hayes, Parisian and Krajcik",279,L,41.55,49.86
Kippers - Smoked,Rath-O'Connell,4353,XL,94.44,113.328
Jerusalem Artichoke,"Romaguera, Beahan and Rice",344,2XL,76.67,92.004
Red Cod Fillets - 225g,"McCullough, Koch and Hessel",1851,XS,22.26,26.712
Water - Evian 355 Ml,"Rosenbaum, Orn and Lesch",1808,XL,67.33,80.796
Blueberries - Frozen,"Dietrich, Heidenreich and Gulgowski",1179,XL,87.29,104.748
Marzipan 50/50,"Streich, Frami and Zboncak",4358,3XL,25.16,30.192
Crackers - Melba Toast,"Wisozk, Stiedemann and O'Kon",3866,3XL,74.32,89.184
Carbonated Water - Lemon Lime,Grimes-Gaylord,57,L,84.53,101.436
Wine - Saint Emilion Calvet,Smith and Sons,2488,M,29.55,35.46
Container - Hngd Cll Blk 7x7x3,"Zemlak, Abbott and Yundt",3045,XL,61.06,73.272
Energy - Boo - Koo,Doyle Group,1703,S,57.56,69.072
Soup - Campbells Bean Medley,Kirlin-Veum,2898,M,98.03,117.636
True - Vue Containers,Stiedemann Group,3497,XL,72.82,87.384
Lettuce - Lolla Rosa,Strosin-Glover,4934,L,97.96,117.552
Berry Brulee,Lemke-Hills,3457,XS,13.64,16.368
"Shrimp - 16/20, Iqf, Shell On",Windler LLC,3558,XS,29.34,35.208
"Sprite, Diet - 355ml",Abshire LLC,1223,XL,22.24,26.688
Paper - Brown Paper Mini Cups,Barton-Cole,2367,XS,5.05,6.06
Wine - Pinot Noir Mondavi Coastal,"Cormier, Stracke and Casper",3315,L,86.69,104.028
"Sugar - Sweet N Low, Individual",Borer LLC,2878,L,56.54,67.848
"Tray - Foam, Square 4 - S",Conroy Inc,4379,XS,73.77,88.524
Bar Energy Chocchip,Osinski and Sons,1346,S,94.48,113.376
Carbonated Water - Peach,Witting Inc,3889,XL,21.86,26.232
"Pepper - Green, Chili","Mann, Johnston and Satterfield",541,XL,25.86,31.032
Caviar - Salmon,Cronin LLC,280,XL,79.71,95.652
Water - Spring Water 500ml,Roberts and Sons,3253,M,28.17,33.804
"Pasta - Penne Primavera, Single",Tremblay LLC,1744,3XL,23.24,27.888
Salt - Table,Gulgowski-Carter,4833,2XL,80.05,96.06
Carbonated Water - Orange,Fritsch-Walter,274,M,17.32,20.784
Thyme - Dried,"Nikolaus, Leffler and Murphy",1508,XS,22.57,27.084
Shrimp - 150 - 250,Prosacco-Goyette,2673,XL,99.55,119.46
Ham - Cooked,"Balistreri, Willms and Deckow",2002,XL,58.33,69.996
Puree - Raspberry,Schiller-Swaniawski,2820,M,21.87,26.244
Pastry - Baked Scones - Mini,Dach Inc,2037,XS,30.31,36.372
Mangoes,"Zemlak, Langworth and Rogahn",862,L,53.8,64.56
Lamb - Loin Chops,Wisoky LLC,20,S,52.86,63.432
Clams - Bay,Beer-Murphy,2208,L,29.99,35.988
Flavouring - Orange,Nader-Hintz,1154,M,19.86,23.832
Muffin Batt - Carrot Spice,Upton-Moen,3034,M,37.56,45.072
Veal - Slab Bacon,Stehr and Sons,250,3XL,77.48,92.976
Pastry - Lemon Danish - Mini,Sanford-Nolan,877,3XL,7.29,8.748
"Peas - Pigeon, Dry",Sporer-Hermiston,2551,L,22.45,26.94
Squash - Butternut,McGlynn-McDermott,3377,M,13.25,15.9
"Rum - Light, Captain Morgan","Konopelski, Schultz and Jenkins",3180,S,53.48,64.176
Bar Mix - Lemon,"Keeling, Koelpin and Koelpin",3703,S,13.38,16.056
"Lamb - Whole, Frozen",Gorczany LLC,4060,XS,93.79,112.548
Muffin Mix - Raisin Bran,Streich and Sons,4592,XS,3.5,4.2
Sun - Dried Tomatoes,Pacocha and Sons,3729,S,37.57,45.084
"Pepper - Chillies, Crushed","Kris, Mohr and McGlynn",1710,XL,31.86,38.232
"Wine - Red, Cabernet Merlot",Heller-Ruecker,1342,S,34.44,41.328
Wine - Fino Tio Pepe Gonzalez,"Heller, Borer and Nienow",4215,3XL,31.07,37.284
Veal - Provimi Inside,Cronin Inc,3473,2XL,24.85,29.82
Juice - Lagoon Mango,Mann-Dare,1695,2XL,28.05,33.66
Cranberries - Fresh,"Harber, O'Keefe and Bosco",464,S,27.91,33.492
Soup - Boston Clam Chowder,Wolf Group,1295,L,88.35,106.02
Pastry - French Mini Assorted,Purdy Inc,4609,2XL,13.37,16.044
"Nut - Walnut, Chopped",Larson-Upton,3050,3XL,72.22,86.664
Olive - Spread Tapenade,"Dare, Kirlin and Wisozk",2922,S,63.1,75.72
Table Cloth 90x90 Colour,"Hane, Lockman and Torphy",903,2XL,16.6,19.92
Cabbage - Red,"Jakubowski, Gusikowski and Mills",267,S,20.86,25.032
Honey - Comb,"Howell, Mann and Leuschke",2109,3XL,21.16,25.392
"Chicken - Thigh, Bone In",Predovic-Bradtke,2091,XL,7.91,9.492
"Wine - Red, Gamay Noir",Brakus-Tromp,4009,2XL,46.93,56.316
Bread Roll Foccacia,Klocko Inc,3322,2XL,14.62,17.544
Ginsing - Fresh,Boyer-Denesik,4874,XS,40.57,48.684
"Noodles - Cellophane, Thin",Goldner-Prosacco,973,3XL,92.72,111.264
Ecolab Crystal Fusion,"Senger, Mayer and McCullough",1242,L,70.01,84.012
"Wine - White, Lindemans Bin 95",Mante-Hermann,1229,L,58.12,69.744
Gatorade - Orange,"Spinka, Blick and Kuphal",3703,M,36.31,43.572
Pork Loin Bine - In Frenched,"Ziemann, Paucek and Rippin",2916,XS,81.66,97.992
Wine - Chianti Classica Docg,"Balistreri, Block and Brakus",4521,L,23.82,28.584
Carroway Seed,"Crooks, Okuneva and Leuschke",4651,M,22.98,27.576
"Crab - Claws, Snow 16 - 24",Mraz-McGlynn,3690,2XL,98.97,118.764
Bacon Strip Precooked,Wisozk-Sauer,2811,2XL,36.85,44.22
Tea - Herbal Orange Spice,Christiansen LLC,3212,S,44.19,53.028
Yams,"Hirthe, Swaniawski and Simonis",3245,M,38.12,45.744
Rhubarb,Hamill and Sons,3286,S,92.27,110.724
Cake - Bande Of Fruit,Denesik-Windler,1392,2XL,59.61,71.532
"Soup - Clam Chowder, Dry Mix",Maggio Group,2680,L,8.84,10.608
Parasol Pick Stir Stick,"Casper, Bailey and Abernathy",2915,XS,97.18,116.616
Samosa - Veg,"Wuckert, Robel and Reinger",2843,L,92.36,110.832
Mikes Hard Lemonade,Brekke-Conroy,3781,XL,31.92,38.304
Quinoa,Wehner Inc,4003,M,49.71,59.652
Wine - Champagne Brut Veuve,"Prosacco, Daniel and Mitchell",239,XS,90.36,108.432
Wine - Magnotta - Cab Sauv,Schowalter and Sons,487,XL,55.66,66.792
"Olives - Green, Pitted","Kreiger, Miller and Parker",2846,M,22.47,26.964
Wiberg Cure,"VonRueden, Rice and Davis",4037,3XL,89.13,106.956
Daikon Radish,Crist LLC,3138,L,62.68,75.216
Sponge Cake Mix - Chocolate,Brakus Inc,2231,L,7.16,8.592
Beef - Short Loin,Schmitt Inc,1303,S,77.93,93.516
Kiwi,Bashirian-Balistreri,4869,M,46.82,56.184
Cheese - Grana Padano,Hegmann-Ledner,4293,XL,98.11,117.732
Salmon Atl.whole 8 - 10 Lb,"Walker, Kerluke and Pagac",4639,2XL,6.1,7.32
"Veal - Leg, Provimi - 50 Lb Max",Ryan-Kris,2586,2XL,14.59,17.508
Potato - Sweet,Cummerata-Labadie,1277,S,78.25,93.9
Potatoes - Pei 10 Oz,Considine Group,2921,L,78.19,93.828
Snapple - Iced Tea Peach,"Hayes, Leannon and Klocko",279,L,30.51,36.612
Beef - Prime Rib Aaa,Wehner and Sons,1529,S,16.05,19.26
Tuna - Salad Premix,"Bailey, Beier and Veum",914,XL,64.99,77.988
Sauce - Marinara,"Barrows, Thiel and Schneider",2465,S,52.66,63.192
"Shrimp - Baby, Warm Water",Rice-Reichel,1783,XL,35.53,42.636
Tomato - Green,Carroll Group,3852,XS,47.53,57.036
Couscous,"O'Hara, Gorczany and Marvin",907,XS,83.67,100.404
Appetizer - Mushroom Tart,"Roob, Wisozk and Reichel",1917,S,74.61,89.532
Paste - Black Olive,Hoppe Group,4977,XL,69.14,82.968
Wine - Blue Nun Qualitatswein,Kuphal-Bauch,2572,M,20.26,24.312
Canada Dry,Franecki Group,1394,L,6.26,7.512
Catfish - Fillets,Hauck-Doyle,2094,L,96.91,116.292
Raisin - Golden,"Quitzon, Legros and Greenholt",3632,3XL,91.7,110.04
"Pineapple - Canned, Rings","Torphy, Howe and Braun",3630,XS,53.44,64.128
Nantucket - Carrot Orange,"Breitenberg, Gulgowski and Hermann",3882,2XL,89.52,107.424
Vacuum Bags 12x16,Hermiston-Kassulke,4489,XL,5.02,6.024
"Stock - Chicken, White","Gorczany, Reichert and Metz",3242,S,34.56,41.472
Macaroons - Homestyle Two Bit,Cruickshank Inc,4284,S,17.5,21.0
Tomatoes - Orange,Brakus-Frami,4072,XS,38.56,46.272
Ostrich - Fan Fillet,Douglas LLC,1448,XS,18.25,21.9
Uniform Linen Charge,Orn-Cronin,4954,XS,60.83,72.996
Urban Zen Drinks,Rohan-Johnston,441,XL,2.42,2.904
"Fish - Artic Char, Cold Smoked","Grimes, Rath and Miller",3506,S,18.66,22.392
Gingerale - Diet - Schweppes,"Maggio, Auer and Koelpin",4349,L,59.49,71.388
Isomalt,"Jakubowski, Leannon and Skiles",4308,S,15.04,18.048
Bread - Calabrese Baguette,Brown-Franecki,3252,2XL,29.78,35.736
Sprouts - Peppercress,"Treutel, Douglas and Hoeger",4076,3XL,83.28,99.936
Pimento - Canned,Boehm-McDermott,4866,XL,16.83,20.196
"Vinegar - Balsamic, White",Krajcik-Schiller,2938,3XL,6.95,8.34
"Juice - Orange, Concentrate",Schultz-Lowe,4571,L,87.19,104.628
Beans - Green,"Will, Kovacek and Daniel",1154,3XL,84.47,101.364
Broom - Angled,Wehner and Sons,2193,3XL,88.0,105.6
Red Currants,Stroman-Feeney,1217,XL,63.35,76.02
Cheese - Goat With Herbs,"Sporer, Hartmann and Lang",3676,2XL,53.34,64.008
"Veal - Brisket, Provimi,bnls",Hodkiewicz LLC,1946,XS,26.71,32.052
Rootbeer,Jacobs-Runte,3954,XL,83.95,100.74
"Crab - Dungeness, Whole, live","Blanda, Lueilwitz and Greenholt",2781,3XL,19.82,23.784
